Title,Sold_Date,Sold_Price,Bids,Card_Link,Image_Link
2018 PANINI PRIZM JOSH ALLEN NEON GREEN PULSAR ROOKIE RC AUTO PSA 10 GEM MINT ,2021-01-22,"2,650.00",51,https://www.ebay.com/itm/2018-PANINI-PRIZM-JOSH-ALLEN-NEON-GREEN-PULSAR-ROOKIE-RC-AUTO-PSA-10-GEM-MINT/143923007329?hash=item21827acf61%3Ag%3A9SEAAOSwNFpgB44v&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/9SEAAOSwNFpgB44v/s-l225.jpg
Josh Allen 2018 Obsidian Rookie 12/100 Bills non auto RC PSA 10?🔥,2021-01-22,330.00,26,https://www.ebay.com/itm/Josh-Allen-2018-Obsidian-Rookie-12-100-Bills-non-auto-RC-PSA-10/333860729860?hash=item4dbba67404%3Ag%3ASE8AAOSwdLlgBG-b&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/SE8AAOSwdLlgBG-b/s-l225.jpg
"2018 Panini Silver Prizm Baker Mayfield RC Rookie AUTO PSA 10 "" FLAWLESS """,2020-12-15,805.00,48,https://www.ebay.com/itm/2018-Panini-Silver-Prizm-Baker-Mayfield-RC-Rookie-AUTO-PSA-10-FLAWLESS/383849063304?hash=item595f2fe388%3Ag%3AE-MAAOSwuklfz%7E6w&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/E-MAAOSwuklfz~6w/s-l225.jpg
2018 Panini Prizm LAMAR JACKSON Hyper Prizm Rookie PSA10 Mint,2021-02-02,661.00,11,https://www.ebay.com/itm/2018-Panini-Prizm-LAMAR-JACKSON-Hyper-Prizm-Rookie-PSA10-Mint/284161939537?hash=item42295f1851%3Ag%3Ai0YAAOSwqPhgBykQ&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/i0YAAOSwqPhgBykQ/s-l225.jpg
2018 Panini Donruss Lamar Jackson #317 PSA 10,2021-01-25,97.26,17,https://www.ebay.com/itm/2018-Panini-Donruss-Lamar-Jackson-317-PSA-10/383908575979?hash=item5962bbfaeb%3Ag%3AjdcAAOSwjVRgBdh9&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/jdcAAOSwjVRgBdh9/s-l225.jpg
2018 Donruss Optic Red Lamar Jackson ROOKIE RC /99 #167 PSA 10 GEM MINT,2021-02-06,810.00,30,https://www.ebay.com/itm/2018-Donruss-Optic-Red-Lamar-Jackson-ROOKIE-RC-99-167-PSA-10-GEM-MINT/402672897488?hash=item5dc12ccdd0%3Ag%3AR%7EwAAOSwpzJgGIqh&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/R~wAAOSwpzJgGIqh/s-l225.jpg
2018 Prizm JOSH ALLEN Neon Green Pulsar Prizm Rookie Auto PSA 10 Autograph RC 🔥,2021-01-21,"3,250.00",6,https://www.ebay.com/itm/2018-Prizm-JOSH-ALLEN-Neon-Green-Pulsar-Prizm-Rookie-Auto-PSA-10-Autograph-RC/174599030075?hash=item28a6e9c53b%3Ag%3AtCoAAOSw%7EjBf-ONT&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/tCoAAOSw~jBf-ONT/s-l225.jpg
2018 Panini Contenders No Feet #105 Josh Allen Auto RC Rookie Gem Mint PSA 10,2021-01-20,"4,950.00",33,https://www.ebay.com/itm/2018-Panini-Contenders-No-Feet-105-Josh-Allen-Auto-RC-Rookie-Gem-Mint-PSA-10/373427723552?hash=item56f206dd20%3Ag%3AHEMAAOSwUrJf%7E8C%7E&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/HEMAAOSwUrJf~8C~/s-l225.jpg
2018 Panini Elite Pen Pals Baker Mayfield Blue Ink RC Auto PSA 10 Gem Mint,2020-12-13,134.99,1,https://www.ebay.com/itm/2018-Panini-Elite-Pen-Pals-Baker-Mayfield-Blue-Ink-RC-Auto-PSA-10-Gem-Mint/224277976530?hash=item34380255d2%3Ag%3ApOkAAOSwIlhf1t6u&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/pOkAAOSwIlhf1t6u/s-l225.jpg
2018 CONTENDERS DP BAKER MAYFIELD AUTOGRAPH GAME SSP ROOKIE AUTO PSA 10 GEM MINT,2020-12-13,230.50,48,https://www.ebay.com/itm/2018-CONTENDERS-DP-BAKER-MAYFIELD-AUTOGRAPH-GAME-SSP-ROOKIE-AUTO-PSA-10-GEM-MINT/233811640749?hash=item36704281ad%3Ag%3A%7EgkAAOSwmQdfzY1b&LH_Auction=1,https://i.ebayimg.com/thumbs/images/g/~gkAAOSwmQdfzY1b/s-l225.jpg
